"","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13","col14","col15","col16","col17","col18","col19","col20","col21","col22","col23","col24","col25","col26","col27","col28","col29","col30","col31","col32","col33","col34","col35","col36","col37","col38","col39","col40","col41","col42","col43","col44","col45","col46","col47","col48","col49","col50","col51","col52","col53","col54","col55","col56","col57","col58","col59","col60","col61","col62","col63","col64","col65","col66","col67","col68","col69","col70","col71","col72","col73","col74","col75","col76","col77","col78","col79","col80","col81","col82","col83","col84","col85","col86","col87","col88","col89","col90","col91","col92","col93","col94","col95","col96","col97","col98","col99","col100","col101","col102","col103","col104","col105","col106","col107","col108","col109","col110","col111","col112","col113","col114","col115","col116","col117","col118","col119","col120","col121","col122","col123","col124","col125","col126","col127","col128","col129","col130","col131","col132","col133","col134","col135","col136","col137","col138","col139","col140","col141","col142","col143","col144","col145","col146","col147","col148","col149","col150","col151","col152","col153","col154","col155","col156","col157","col158","col159","col160","col161","col162","col163","col164","col165","col166","col167","col168","col169","col170","col171","col172","col173","col174","col175","col176","col177","col178","col179","col180","col181","col182","col183","col184","col185","col186","col187","col188","col189","col190","col191","col192","col193","col194","col195","col196","col197","col198","col199","col200","col201","col202","col203","col204","col205","col206","col207","col208","col209","col210","col211","col212","col213","col214","col215","col216","col217","col218","col219","col220","col221","col222","col223","col224","col225","col226","col227"
"DCI.ID","115","116","117","118","119","120","124","127","128","129","134","143","143.1","143.2","143.3","143.4","143.5","186","186.1","186.2","186.3","189","189.1","189.2","189.3","189.4","189.5","190","214","215","216","221","222","223","228","229","230","24.1","24.10","24.2","24.3","24.4","24.5","24.6","24.7","24.8","24.9","255","255.1","255.2","255.3","255.4","255.5","255.6","256","259","259.1","259.2","259.3","259.4","259.5","259.6","259.7","259.8","277","277.1","277.2","277.3","277.4","277.5","277.6","277.7","277.8","277.9","278","278.1","278.2","278.3","278.4","278.5","278.6","279","279.1","279.2","279.3","279.4","279.5","279.6","280","280.1","280.10","280.2","280.3","280.4","280.5","280.6","280.7","280.8","280.9","281","281.1","281.2","281.3","281.4","281.5","281.6","282","282.1","282.2","282.3","282.4","282.5","282.6","283","283.1","283.2","283.3","283.4","283.5","283.6","284","284.1","284.2","284.3","284.4","285","285.1","285.2","285.3","285.4","285.5","285.6","286","286.1","286.2","286.3","286.4","286.5","287","287.1","287.2","287.3","287.4","287.5","288","288.1","288.2","288.3","288.4","288.5","288.6","288.7","289","289.1","289.2","289.3","289.4","289.5","289.6","290","290.1","290.2","291","291.1","291.2","291.3","291.4","291.5","291.6","291.7","294","295","296","297","298","299","300","62.1","62.10","62.11","62.2","62.3","62.4","62.5","62.6","62.7","62.8","62.9","74.1","74.10","74.11","74.12","74.13","74.14","74.15","74.16","74.17","74.2","74.3","74.4","74.5","74.6","74.7","74.8","74.9","77.1","77.10","77.11","77.12","77.13","77.2","77.3","77.4","77.5","77.6","77.7","77.8","77.9","9.1","9.2","9.3","9.4","9.5","9.6","9.7","9.8","9.9"
"X1","-1","-1","-1","-1","-1","-1","6","1","5","2","10","-1","1","1","1","2","4","-1","1","5","1","-1","2","2","2","1","2","1","3","4","1","2","1","2","2","1","2","2","2","1","2","2","1","2","2","2","1","-1","1","3","3","3","1","1","-1","-1","1","1","2","2","1","1","2","1","-1","1","1","1","2","1","1","1","2","2","-1","3","4","1","5","5","6","-1","4","4","6","3","2","6","-1","1","1","1","1","1","1","1","2","2","1","-1","5","2","6","2","4","4","-1","4","2","5","3","1","2","-1","1","3","2","1","4","2","-1","1","3","3","4","-1","1","4","3","3","2","1","-1","3","3","1","3","5","-1","2","3","1","2","2","-1","3","4","5","3","5","3","1","-1","2","3","3","4","1","5","-1","2","3","-1","1","1","2","2","2","2","1","7","-1","-1","-1","-1","-1","-1","3","2","3","1","2","1","3","3","1","1","2","5","5","1","6","4","6","5","3","1","4","3","3","1","1","1","6","1","1","2","1","1","1","3","3","3","2","1","2","1","3","1","2","2","2","2","2","1","1","1"
"X2","-1","-1","-1","-1","-1","-1","1","1","1","1","9","-1","3","3","4","1","3","-1","2","1","2","-1","2","2","2","2","1","1","1","5","1","3","2","2","1","2","3","2","1","1","2","2","2","1","1","1","1","-1","2","3","1","1","3","2","-1","-1","1","1","1","2","1","1","1","2","-1","1","1","1","1","1","2","2","2","2","-1","5","3","3","5","6","3","-1","2","5","5","4","1","1","-1","2","2","1","1","2","1","2","1","2","2","-1","1","1","2","6","3","5","-1","1","6","2","6","5","2","-1","1","1","1","4","3","2","-1","3","1","3","3","-1","3","2","1","2","2","5","-1","4","4","3","2","5","-1","3","4","4","4","1","-1","1","3","4","4","3","1","4","-1","5","1","5","1","5","4","-1","3","1","-1","2","1","2","2","1","1","2","5","-1","-1","-1","-1","-1","-1","2","3","3","3","1","3","2","2","2","1","1","3","4","1","2","1","5","3","5","2","1","6","2","6","6","5","6","4","2","3","2","1","2","1","1","3","2","1","1","1","3","2","2","2","1","1","1","1","2","2"
"X3","-1","-1","-1","-1","-1","-1","6","7","4","6","8","-1","4","4","2","4","4","-1","2","6","4","-1","2","2","2","1","1","1","3","5","3","2","1","2","3","3","3","2","2","2","1","2","2","1","1","2","2","-1","2","2","1","1","3","1","-1","-1","2","2","1","2","1","1","1","2","-1","2","1","1","2","1","2","1","2","1","-1","2","4","5","5","2","1","-1","4","4","3","2","2","3","-1","1","2","1","2","2","2","1","1","1","1","-1","5","1","6","3","6","4","-1","5","3","3","6","2","5","-1","2","4","4","4","4","3","-1","4","1","4","4","-1","5","5","2","2","4","2","-1","3","4","4","3","4","-1","1","2","4","1","4","-1","1","4","3","3","5","3","2","-1","4","1","3","4","1","4","-1","4","3","-1","1","2","1","2","1","1","2","3","-1","-1","-1","-1","-1","-1","1","1","3","3","2","1","2","3","2","2","3","5","6","3","5","4","3","5","2","1","3","1","3","2","1","1","4","6","3","2","3","3","3","3","2","1","2","1","2","3","2","2","1","1","2","2","2","2","2","2"
"X4","-1","-1","-1","-1","-1","-1","2","10","1","1","7","-1","1","2","1","2","3","-1","6","1","3","-1","1","2","1","1","2","1","3","6","2","3","1","3","2","2","3","2","2","1","1","1","1","2","2","2","2","-1","2","1","1","1","1","2","-1","-1","2","1","2","2","2","1","1","2","-1","2","2","2","1","2","2","2","1","2","-1","6","4","1","4","3","5","-1","3","3","6","4","1","3","-1","1","2","1","2","2","2","2","2","2","2","-1","5","2","2","6","4","5","-1","6","3","3","2","1","4","-1","2","4","1","2","3","2","-1","3","3","4","3","-1","4","4","5","2","1","4","-1","4","3","2","3","2","-1","2","2","4","3","3","-1","4","5","4","2","3","2","4","-1","4","3","1","4","3","5","-1","1","2","-1","2","1","2","1","1","2","2","2","-1","-1","-1","-1","-1","-1","3","3","1","1","1","3","3","1","3","3","2","4","1","6","6","2","1","6","5","4","1","4","1","6","3","4","3","5","2","2","2","3","3","2","2","2","1","3","2","3","3","1","1","1","2","1","1","2","1","1"
"X5","-1","-1","-1","-1","-1","-1","1","10","1","6","9","-1","1","4","4","4","1","-1","3","4","2","-1","1","2","1","2","2","1","1","3","1","3","2","2","3","4","1","1","1","1","1","2","2","1","2","1","2","-1","1","2","3","1","2","3","-1","-1","2","2","2","1","2","1","2","1","-1","1","2","1","1","1","2","2","2","1","-1","2","3","5","3","1","5","-1","5","5","3","5","4","2","-1","1","1","2","1","2","1","1","2","2","2","-1","4","1","2","6","2","3","-1","6","1","2","6","3","4","-1","3","4","4","1","2","4","-1","4","2","2","4","-1","3","1","3","5","3","5","-1","5","4","1","2","2","-1","3","4","2","3","3","-1","5","4","1","2","2","1","3","-1","5","5","1","1","2","3","-1","1","2","-1","1","2","2","1","1","2","2","1","-1","-1","-1","-1","-1","-1","3","1","2","1","2","3","1","2","1","2","3","5","2","4","6","1","6","5","6","2","1","1","1","2","4","6","5","2","3","3","1","3","2","2","1","2","2","2","2","3","3","2","1","2","1","1","2","2","1","1"
"X6","-1","-1","-1","-1","-1","-1","6","1","4","3","10","-1","1","1","3","4","3","-1","4","4","4","-1","2","2","2","2","1","3","3","2","2","2","2","3","3","3","2","1","2","1","2","2","2","2","2","2","2","-1","2","3","2","3","2","1","-1","-1","2","2","1","1","1","2","2","1","-1","1","1","2","1","1","2","2","2","2","-1","6","6","2","4","6","3","-1","3","3","2","2","3","1","-1","2","2","1","1","2","1","1","2","1","1","-1","5","1","1","4","1","5","-1","5","3","2","1","5","2","-1","1","2","1","1","4","3","-1","4","4","1","2","-1","2","2","2","5","3","3","-1","2","1","3","2","1","-1","1","2","1","2","1","-1","3","4","2","3","4","1","5","-1","1","3","3","5","5","3","-1","3","2","-1","1","1","1","2","2","2","1","6","-1","-1","-1","-1","-1","-1","3","3","2","2","2","1","2","2","3","3","3","4","1","2","5","6","2","4","3","6","1","3","6","6","5","1","3","6","1","2","2","3","2","1","1","1","3","1","3","1","2","2","2","2","1","2","1","1","2","2"
"X7","-1","-1","-1","-1","-1","-1","5","5","2","3","6","-1","3","1","3","4","2","-1","1","2","2","-1","2","2","1","2","2","1","2","6","1","1","2","1","4","2","1","1","1","2","1","1","1","2","1","1","2","-1","1","3","1","2","1","2","-1","-1","2","1","2","1","1","2","1","2","-1","1","2","1","2","2","2","2","1","2","-1","1","2","1","6","6","5","-1","6","2","1","4","2","5","-1","2","1","2","2","1","1","1","1","2","2","-1","3","3","5","6","6","3","-1","5","1","6","5","6","1","-1","4","3","4","3","1","3","-1","3","1","1","3","-1","1","5","2","3","4","3","-1","3","5","5","1","5","-1","2","4","1","1","2","-1","5","2","1","4","2","3","2","-1","4","3","2","1","4","2","-1","4","4","-1","1","2","2","1","2","2","1","5","-1","-1","-1","-1","-1","-1","2","3","2","2","3","1","2","1","3","1","2","5","2","4","5","5","6","1","6","5","6","2","5","6","2","6","6","3","1","1","2","2","3","2","1","2","1","2","3","3","2","2","1","2","2","1","1","1","1","2"
"X8","-1","-1","-1","-1","-1","-1","4","12","2","5","8","-1","1","4","2","2","2","-1","1","2","5","-1","2","1","1","1","2","3","2","5","2","1","2","2","4","3","1","1","1","1","1","1","1","1","2","2","1","-1","3","2","1","2","3","3","-1","-1","1","1","1","2","1","1","1","1","-1","1","1","2","1","1","1","1","2","1","-1","3","5","2","5","2","5","-1","1","2","1","6","3","3","-1","2","2","2","2","2","2","1","2","1","1","-1","2","4","3","6","3","5","-1","4","3","6","6","6","4","-1","4","4","1","4","2","1","-1","1","1","3","1","-1","1","3","1","2","2","3","-1","3","5","3","3","2","-1","2","3","2","3","4","-1","3","3","5","3","4","1","2","-1","2","3","4","1","1","1","-1","3","2","-1","1","1","1","2","2","2","1","6","-1","-1","-1","-1","-1","-1","2","1","1","2","2","2","1","1","3","1","2","6","6","5","4","3","6","6","1","3","1","3","3","3","2","1","4","5","3","1","2","2","3","2","2","3","2","3","3","1","1","2","2","1","1","1","1","1","1","2"
"X9","-1","-1","-1","-1","-1","-1","3","5","1","1","11","-1","4","3","2","2","2","-1","5","5","2","-1","2","1","1","1","1","3","3","5","3","1","1","3","4","3","1","1","1","1","1","1","1","2","2","2","2","-1","2","3","3","3","3","3","-1","-1","2","2","1","1","2","2","1","1","-1","2","1","2","1","2","2","2","1","1","-1","6","2","3","2","1","5","-1","4","3","4","4","2","1","-1","1","1","2","2","2","2","1","1","2","1","-1","2","3","5","5","3","3","-1","5","5","6","4","2","1","-1","3","1","1","1","4","4","-1","1","2","2","2","-1","2","1","3","4","5","3","-1","1","4","3","3","5","-1","4","3","2","1","3","-1","5","1","5","5","1","4","5","-1","5","3","5","4","2","3","-1","3","3","-1","1","1","1","1","1","2","2","3","-1","-1","-1","-1","-1","-1","3","3","1","3","3","1","3","3","1","2","1","5","5","2","1","4","3","6","5","4","3","1","6","1","4","2","6","3","1","1","2","2","3","1","2","2","3","1","3","2","1","1","1","1","2","1","1","1","1","1"
"X10","-1","-1","-1","-1","-1","-1","2","11","2","5","4","-1","3","3","4","3","2","-1","2","4","3","-1","2","1","2","1","1","3","3","4","1","3","2","1","3","1","1","1","2","1","2","1","2","2","2","1","2","-1","3","1","1","1","3","3","-1","-1","1","2","1","2","2","1","2","1","-1","1","1","2","2","1","2","2","2","1","-1","5","5","5","2","6","5","-1","4","5","5","1","6","3","-1","1","1","2","2","2","2","2","2","1","2","-1","6","5","1","2","3","5","-1","5","3","4","6","6","1","-1","4","3","1","1","3","2","-1","4","4","1","2","-1","4","3","3","1","3","5","-1","2","3","3","1","5","-1","4","1","2","3","1","-1","3","1","4","3","3","3","3","-1","3","4","1","5","1","3","-1","2","4","-1","1","2","2","1","2","2","2","1","-1","-1","-1","-1","-1","-1","1","1","2","2","3","3","2","3","1","1","3","6","1","6","2","5","4","3","4","4","2","6","3","2","4","1","2","3","3","1","1","3","3","2","1","2","1","1","3","2","1","2","1","2","1","1","1","2","1","1"
"X11","-1","-1","-1","-1","-1","-1","2","12","3","1","9","-1","1","1","1","4","2","-1","5","3","5","-1","2","1","2","1","2","3","1","1","2","3","2","2","2","2","3","2","2","2","1","2","1","1","2","2","2","-1","2","2","2","1","2","1","-1","-1","1","1","1","2","2","1","2","1","-1","2","1","1","1","2","2","1","2","1","-1","2","4","2","2","5","2","-1","1","3","4","5","1","6","-1","2","2","1","1","1","2","1","2","1","2","-1","2","3","2","6","5","2","-1","4","5","2","2","4","2","-1","3","2","1","2","3","1","-1","3","4","4","4","-1","2","1","3","3","1","3","-1","3","4","2","5","2","-1","2","2","3","3","2","-1","5","4","1","3","1","4","2","-1","4","1","2","1","2","3","-1","2","3","-1","2","1","2","1","1","1","2","2","-1","-1","-1","-1","-1","-1","2","2","1","3","1","2","3","3","1","1","1","4","2","6","1","5","1","2","3","2","3","2","5","3","4","5","4","1","1","2","1","3","3","2","2","2","2","1","1","3","3","1","1","1","1","1","1","2","1","1"
"X12","-1","-1","-1","-1","-1","-1","5","7","1","6","9","-1","2","1","3","3","4","-1","3","6","5","-1","2","2","1","1","2","1","3","5","2","3","2","1","1","3","2","1","1","2","2","2","2","1","1","1","1","-1","3","2","3","1","2","3","-1","-1","1","1","2","2","1","2","1","1","-1","1","2","1","2","2","1","1","2","2","-1","6","6","2","5","3","1","-1","2","5","1","4","2","5","-1","1","1","2","1","1","1","1","1","1","1","-1","2","3","3","6","5","4","-1","4","6","5","1","3","1","-1","4","2","4","1","3","3","-1","1","3","2","1","-1","4","1","3","5","5","4","-1","1","5","1","3","4","-1","4","4","3","2","4","-1","2","5","3","3","4","2","3","-1","5","1","4","3","4","4","-1","4","2","-1","2","2","1","1","2","1","2","5","-1","-1","-1","-1","-1","-1","2","1","3","1","3","2","3","2","1","2","3","4","2","5","1","1","4","2","5","2","4","5","2","6","2","6","3","1","2","2","1","3","3","1","2","3","2","2","1","1","3","1","2","1","1","1","1","1","2","2"
"X13","-1","-1","-1","-1","-1","-1","1","3","2","2","2","-1","2","3","4","3","1","-1","6","3","5","-1","1","2","1","1","2","3","3","6","3","2","1","2","1","4","3","2","1","1","2","2","2","2","1","2","2","-1","1","1","3","1","3","3","-1","-1","1","2","1","1","2","2","1","1","-1","1","2","2","2","1","1","2","2","1","-1","5","6","2","2","6","1","-1","3","6","5","3","2","5","-1","1","1","1","1","2","2","2","2","1","2","-1","1","3","1","6","4","5","-1","2","6","6","5","5","5","-1","1","1","1","2","4","4","-1","2","1","1","2","-1","2","2","5","3","4","5","-1","4","2","5","3","5","-1","2","2","2","1","2","-1","2","5","1","4","3","2","1","-1","4","5","5","1","5","4","-1","4","1","-1","1","1","2","2","2","1","1","2","-1","-1","-1","-1","-1","-1","3","1","1","2","3","3","3","2","3","3","1","3","2","2","4","5","5","1","1","4","4","3","2","2","6","3","2","3","2","3","3","2","3","3","1","3","1","1","2","3","1","2","1","1","2","2","2","1","2","1"
"X14","-1","-1","-1","-1","-1","-1","1","7","7","1","11","-1","3","1","1","1","3","-1","1","5","5","-1","1","2","1","2","2","1","3","3","1","2","2","2","2","1","2","2","1","1","1","2","2","2","2","1","2","-1","3","2","3","3","3","3","-1","-1","2","2","1","1","1","1","1","1","-1","1","1","2","1","1","2","1","1","1","-1","2","4","6","5","6","1","-1","3","6","5","2","4","1","-1","2","1","1","2","2","1","2","2","1","1","-1","5","5","1","6","2","5","-1","1","2","6","1","3","1","-1","3","4","1","2","2","4","-1","3","4","4","1","-1","2","2","2","1","5","4","-1","1","3","2","5","3","-1","3","3","4","4","1","-1","3","1","3","3","2","2","3","-1","5","3","5","5","1","1","-1","2","4","-1","1","2","1","2","2","1","1","5","-1","-1","-1","-1","-1","-1","2","3","3","3","2","3","1","2","2","3","3","6","4","3","1","3","6","4","1","1","6","5","3","5","6","6","1","6","3","1","2","2","2","3","2","3","3","1","1","3","2","2","2","1","2","2","1","2","2","1"
"X15","-1","-1","-1","-1","-1","-1","6","8","7","6","13","-1","1","3","3","4","1","-1","2","2","5","-1","2","1","1","1","1","2","1","5","2","3","2","3","3","1","3","2","1","2","1","2","1","2","1","1","2","-1","2","2","3","1","3","1","-1","-1","1","1","2","2","2","2","1","1","-1","2","2","1","1","1","1","1","2","1","-1","3","4","3","5","3","3","-1","2","1","1","5","1","4","-1","2","1","1","1","1","2","2","2","2","1","-1","4","1","3","2","2","1","-1","2","6","2","6","5","2","-1","3","3","4","4","2","2","-1","1","1","2","1","-1","1","5","4","5","3","4","-1","5","4","4","3","5","-1","1","1","2","1","3","-1","2","2","4","4","1","5","1","-1","5","4","4","2","4","2","-1","4","1","-1","2","2","2","2","2","1","1","4","-1","-1","-1","-1","-1","-1","3","3","1","2","2","3","1","3","1","2","1","6","6","3","2","6","5","4","6","5","3","1","6","6","5","4","4","5","1","2","3","3","2","2","2","3","1","3","3","2","2","1","1","1","2","2","1","1","2","1"
"X16","-1","-1","-1","-1","-1","-1","6","4","3","2","6","-1","4","3","3","3","4","-1","4","3","1","-1","1","1","1","2","1","1","3","2","3","1","2","2","3","1","2","1","2","1","1","2","1","1","1","2","1","-1","1","2","2","1","3","3","-1","-1","2","1","2","1","2","1","2","1","-1","1","2","1","1","2","1","1","1","1","-1","1","6","6","1","2","1","-1","5","1","2","2","4","3","-1","1","2","1","2","1","1","1","1","1","2","-1","3","2","5","2","6","5","-1","2","5","1","3","4","1","-1","4","4","4","1","3","2","-1","4","4","2","2","-1","2","3","1","1","4","1","-1","5","1","4","2","5","-1","2","1","1","2","2","-1","3","1","4","4","2","5","4","-1","1","2","5","2","2","1","-1","3","2","-1","2","1","1","1","1","1","2","4","-1","-1","-1","-1","-1","-1","1","3","2","1","3","3","2","1","3","3","3","6","1","3","2","5","5","3","6","2","1","2","3","2","6","6","5","2","1","1","3","3","1","1","3","2","3","3","2","2","2","1","2","1","1","1","1","2","2","2"
"X17","-1","-1","-1","-1","-1","-1","2","6","1","4","3","-1","2","3","2","1","2","-1","4","2","6","-1","2","1","1","1","2","1","3","7","1","2","1","2","2","1","3","2","1","1","2","2","2","1","1","1","1","-1","1","2","1","2","2","3","-1","-1","1","2","2","2","1","1","2","1","-1","1","1","1","2","2","2","2","2","1","-1","4","4","6","1","1","6","-1","5","1","5","2","1","6","-1","1","1","2","1","1","2","2","2","1","1","-1","1","4","5","2","6","1","-1","4","5","3","6","3","2","-1","3","1","3","2","2","1","-1","1","1","3","4","-1","5","2","3","5","3","4","-1","2","4","4","5","3","-1","2","2","2","4","2","-1","3","3","2","3","2","1","1","-1","3","1","1","2","4","5","-1","2","1","-1","2","1","2","2","1","2","1","2","-1","-1","-1","-1","-1","-1","3","2","1","3","1","2","3","3","3","1","3","4","2","2","3","4","2","4","1","2","6","5","4","1","2","2","1","1","3","1","3","3","3","3","2","3","3","2","3","2","3","2","1","2","1","1","1","1","2","1"
